edition,serial,license_no,license_printed,name,page,borrowing_to_loan_outstanding,operating_cost_to_income,capital_fund_to_loan_outstanding,portfolio_yield,return_on_assets,operating_self_sufficiency,operating_margin
2025-06,1,792,21112-01012-00792,Abalamban,198,11.1,63.88,32.75,21.28,5.08,134.8,26.52
2025-06,2,529,03722-03365-00529,Abdul Hai Zahura Welfare Foundation,198,36.18,92.3,34.94,10.48,0.03,68.85,0.34
2025-06,3,244,00584-01897-00244,Access Toward Livelihood and Welfare Organization (ALWO),198,48.04,53.44,6.54,18.16,4.69,138.43,28.34
2025-06,4,894,32021-00881-00894,Action for Community Development,198,,56.17,6.98,22.97,5.05,130.33,24.27
2025-06,5,265,00684-02909-00265,ACTION FOR HUMAN DEVELOPMENT ORGANIZATION AHDO,198,16.34,71.87,30.83,20.64,1.52,103.13,8.63
2025-06,6,130,02008-02954-00130,Association for Development Activity of Manifold Social Work (ADAMS Foundation),198,0.16,91.01,38.14,16.04,0.35,100.63,2.28
2025-06,7,406,01863-00447-00406,Adarsho Manob Kallyan Sangha,198,34.65,69.18,30.92,18.12,1.9,112.8,11.76
2025-06,8,96,01730-00149-00096,Ad-din Welfare Centre (Ad-din),198,43.29,53.65,26.25,21.31,4.5,117.62,23.44
2025-06,9,79,00091-00396-00079,Association of Development for Economic & Social Help (ADESH),198,32.17,55.79,23.62,19.71,0.26,101.39,1.62
2025-06,10,73,01865-02314-00073,ADRSO Shomaj Kallyan Sangstha (ADRSO),198,3.99,61.49,22.46,17.98,3.28,120.66,19.31
2025-06,11,753,05060-04245-00753,Advanced Society for Any Research & Active Life Oriented Work,198,71.56,58.78,7.73,16.4,1.07,107.17,6.86
2025-06,12,876,21112-00060-00876,Adventist Development and relief Agency ADRA Bangladesh,198,,99.52,-19.33,18.29,-0.91,75.72,-5.64
2025-06,13,837,21112-01214-00837,Agamir Shwapno (AS),198,85.47,27.52,35.14,6.69,13.65,54.67,289.2
2025-06,14,672,00648-01479-00672,Agragati Seba Sangstha (A S S),198,66.48,60.77,9.04,26.53,0.41,101.12,1.7
2025-06,15,189,05774-00474-00189,Agragati,198,55.9,75.44,27.4,18.56,0.41,102.55,2.62
2025-06,16,727,07086-04175-00727,AGROGAMI UNNAYAN SANGASTHA(AGROGAMI),198,7.33,52.8,15.77,17.96,2.74,119.62,16.96
2025-06,17,276,01180-01615-00276,Ahead Social Organization (ASO),198,52.92,50.78,23.41,21.43,4.73,132.69,25.19
2025-06,18,401,03092-01106-00401,Akota Samaj Unnayan Kenddra (ASUK),198,1.71,81.11,54.2,12.59,1.12,109.95,9.89
2025-06,19,663,00597-00726-00663,Al Kariem Shikkha O Paribesh Unnayan Foundation,198,15.99,81.57,38.92,18.97,1.35,108.39,8.21
2025-06,20,571,00688-00122-00571,ALAP- Association for Landless and Poor,199,35.81,65.16,27.08,20.0,2.61,116.79,14.54
2025-06,21,177,00339-03482-00177,Al-Falah Aam Unnayan Sangstha (AFAUS),199,3.9,71.64,38.87,22.87,2.6,115.2,14.3
2025-06,22,108,03260-01158-00108,Aloha Social Services Bangladesh (ASSB),199,6.94,57.15,65.92,23.32,6.99,147.84,34.39
2025-06,23,859,21112-00080-00859,ALOK BANGLA (An Initiative to Promote People’s Self-Help),199,61.34,50.83,10.47,21.71,2.05,108.8,10.61
2025-06,24,824,21112-00187-00824,Alor Disha Foundation,199,30.51,64.98,20.69,18.5,3.05,119.03,18.01
2025-06,25,789,21112-00792-00789,Alor Dishari Mohila Unnayan Sangstha,199,28.91,63.76,37.87,18.54,3.66,126.08,21.47
2025-06,26,671,04781-01544-00671,Alor Nir Somity (A N S),199,3.27,46.8,32.02,22.68,6.48,145.47,32.67
2025-06,27,597,04066-00937-00597,Alor Pothe (AP),199,,63.18,14.05,6.09,-0.94,61.54,-15.6
2025-06,28,303,00711-00027-00303,Alternative Development Initiative (ADI),199,41.48,62.47,19.51,20.62,1.85,107.89,10.37
2025-06,29,86,00350-01308-00086,Ambala Foundation,199,32.39,51.75,14.9,22.14,1.37,106.54,7.25
2025-06,30,344,00136-00610-00344,AMDA Health & Environment Development Society,199,19.46,77.77,30.35,23.71,0.64,102.68,3.02
2025-06,31,778,21112-00215-00778,AMITY MANOB UNNAYAN SANGSTHA,199,56.1,63.7,17.45,14.78,0.84,106.48,6.36
2025-06,32,661,01613-01081-00661,Amra Kaj Kory(AKK),199,54.84,63.32,18.36,22.95,3.2,119.57,17.12
2025-06,33,232,02060-01912-00232,Anando,199,0.16,88.0,66.07,21.25,1.22,105.97,6.49
2025-06,34,637,00846-01064-00637,Ancholic Polli Unnayan Sangstha (APUS),199,50.2,68.6,18.07,18.31,1.4,107.55,9.91
2025-06,35,294,00701-00968-00294,Anirban Samaj Unnayan Sangstha,199,27.92,72.21,23.31,10.38,0.02,99.93,0.17
2025-06,36,298,00353-02761-00298,Annaya Samaj Kallyan Sangstha (ASKS),199,102.42,79.47,2.9,19.86,-2.45,75.02,-33.86
2025-06,37,321,00669-03433-00321,Ansar Ali Foundation for Integrated Development (AAFID),199,34.48,73.85,39.64,18.16,1.29,108.7,8.53
2025-06,38,829,21112-00498-00829,Apon (Artho Samajik Unnyon Songstha),199,,65.43,7.51,20.19,0.87,76.63,4.48
2025-06,39,405,02814-03211-00405,ARS-Bangladesh (ARS-BD),199,52.43,47.69,28.07,26.26,5.64,128.83,25.77
2025-06,40,466,00886-02685-00466,Artha-Samajik o Paribesh Unnayan Sangstha,200,20.61,75.39,24.57,14.57,0.88,93.75,6.53
2025-06,41,100,00470-00538-00100,ASA,200,0.44,64.11,92.89,20.35,4.25,130.21,30.24
2025-06,42,200,00609-01019-00200,Ashrai,200,59.62,54.25,16.89,22.93,1.28,107.35,7.38
2025-06,43,199,00178-00261-00199,ASPADA Paribesh Unnayan Foundation,200,22.66,60.75,18.03,24.1,0.88,95.56,4.95
2025-06,44,127,01173-01986-00127,Assistance for Social Organization and Development -ASOD,200,142.94,89.71,37.87,3.0,0.25,108.3,16.62
2025-06,45,102,01672-00390-00102,Association for Advancement & Development,200,47.15,48.33,18.61,14.71,0.45,101.6,3.28
2025-06,46,146,00429-00140-00146,Association for Integrated Development-Comilla (AID-Comilla),200,48.07,74.39,10.76,21.34,-0.21,98.7,-1.17
2025-06,47,812,21112-00537-00812,Association for Peoples Development Stream (APDS),200,30.12,83.9,50.44,21.58,0.21,100.86,1.21
2025-06,48,66,01482-00179-00066,Association For Realisation of Basic Needs-ARBAN,200,23.54,76.28,23.81,23.08,0.46,95.74,2.94
2025-06,49,56,00307-02179-00056,Association for Renovation of Community Health Education Services (ARCHES),200,50.88,62.99,7.38,19.24,2.21,93.97,15.38
2025-06,50,42,02015-00479-00042,Association for Rural Advancement in Bangladesh (ARAB),200,6.26,70.83,71.7,18.91,3.44,122.85,24.4
2025-06,51,593,01234-03143-00593,Association for Social Development (A.S.D),200,37.76,50.19,34.13,13.7,3.06,117.26,24.37
2025-06,52,447,02471-01868-00447,Association for Social Development,200,60.81,75.4,10.49,11.85,-2.6,74.07,-30.49
2025-06,53,164,00104-03016-00164,Association for Socio-Economic Advancement of Bangladesh (ASEAB),200,0.9,63.99,28.21,23.24,3.67,120.22,18.02
2025-06,54,58,00527-00392-00058,Association for Under-Privileged People-AUP,200,34.45,53.55,23.49,23.29,5.21,132.13,25.33
2025-06,55,436,01457-00321-00436,Association for Women Empowerment and Child Right’s (AWAC),200,8.69,60.11,32.69,20.09,3.76,125.93,21.36
2025-06,56,754,03416-01262-00754,Association of Workers for Alternative Rural Development (AWARD),200,37.09,41.82,24.29,16.63,6.09,193.0,54.21
2025-06,57,34,00969-00226-00034,ATMABISWAS,201,67.5,55.02,11.38,20.48,1.97,107.23,11.31
2025-06,58,134,00245-02077-00134,Aungkur Palli Unnayan Kendra,201,63.59,69.63,19.13,20.47,1.42,107.94,8.82
2025-06,59,326,00244-00343-00326,Jugabani Samaj Kallayan Sangstha (JSKS),201,3.92,62.88,11.42,20.0,0.7,103.33,3.84
2025-06,60,325,02676-02019-00325,Aushgara Unnayan Sangstha,201,9.34,48.6,32.26,19.87,5.87,150.38,34.4
2025-06,61,470,05305-00792-00470,AVA Development Society,201,62.28,69.91,13.17,18.75,2.07,112.3,12.69
2025-06,62,673,04782-01547-00673,BADHAN GRAM UNNAYAN FOUNDATION,201,1.25,51.9,74.64,23.56,9.05,166.85,41.05
2025-06,63,12,00198-00021-00012,Bajitpur Rural Advancement Society (BRAS),201,32.61,76.32,16.25,22.39,0.44,98.72,2.12
2025-06,64,682,00983-00016-00682,Bakergonj Forum,201,10.36,91.36,44.68,17.13,0.48,29.95,4.62
2025-06,65,395,00331-01733-00395,Banaful Social Welfare Organization (BSWO),201,1.37,55.09,33.78,18.52,2.65,117.43,18.2
2025-06,66,892,32021-00245-00892,Bachar Thikana Unnoyon Songstha,201,54.07,137.11,5.74,17.81,-7.4,69.25,-43.82
2025-06,67,879,21112-00285-00879,Banchte Chai Samaj Unnayan Songstha (BSDO),201,49.37,63.67,43.92,20.37,4.97,143.5,33.36
2025-06,68,328,03446-01309-00328,Banchte Shekha (BS),201,47.94,43.84,10.97,19.04,1.64,110.18,9.49
2025-06,69,410,02535-00745-00410,Bandhan Sangstha,201,14.88,41.97,70.89,26.28,13.62,217.08,54.79
2025-06,70,305,01490-00330-00305,Bandhu Kallyan Foundation,201,51.02,67.87,15.07,20.38,1.84,110.3,10.15
2025-06,71,445,02839-00454-00445,Bangio Gonounnayan samity (BGS),201,58.94,71.57,29.44,15.48,1.35,114.5,13.04
2025-06,72,685,01740-01729-00685,Bangladesh Agricultural Working Peoples Association (BAWPA),201,9.37,70.99,21.47,15.28,1.95,116.25,14.51
2025-06,73,560,00291-02364-00560,Bangladesh Association for Community Education (BACE),201,6.37,72.97,33.97,19.53,2.24,113.99,12.58
2025-06,74,431,05518-04426-00431,Bangladesh Association for Sustainable Development (BASD),201,,102.08,14.13,20.89,-1.78,84.49,-9.4
2025-06,75,355,03160-02702-00355,Bangladesh Development Society (BDS),201,56.7,54.81,13.78,20.33,2.36,113.75,13.63
2025-06,76,263,00572-02517-00263,Bangladesh Extension Education Services (BEES),201,62.36,40.62,10.99,23.07,3.4,120.88,17.63
2025-06,77,866,00171-00155-00866,Bangladesh Fellowship Foundation,202,,65.94,50.82,20.19,4.05,132.96,25.76
2025-06,78,458,03072-01354-00458,Bangladesh Grameen Seba Sangstha,202,62.18,52.11,10.2,21.6,1.8,109.72,9.12
2025-06,79,739,01191-02411-00739,BANGLADESH HEALTH AND EDUCATION DEVELOPMENT SOCIETY,202,19.88,56.52,12.92,21.12,2.86,117.06,15.05
2025-06,80,340,02908-03316-00340,Bangladesh Ignite Youth Society (BIYS),202,51.0,68.85,2.51,24.15,0.53,100.1,2.51
2025-06,81,84,00015-00125-00084,Bangladesh Institute of Research & Development (BIRD),202,9.89,58.19,27.67,17.04,0.57,95.16,4.66
2025-06,82,486,00719-00077-00486,Bangladesh JanaKallyan Songstha,202,10.95,329.84,55.81,3.54,-8.0,28.57,-276.9
2025-06,83,562,01650-02256-00562,Bangladesh Palli Unnayon Foundation (B. P. D. F),202,1.37,89.6,16.5,12.35,0.57,97.91,5.19
2025-06,84,234,02798-00553-00234,Bangla-German Sampreeti (BGS),202,21.07,68.18,53.81,25.31,2.34,113.84,12.91
2025-06,85,354,04153-01588-00354,Banglar Mela Sangstha (BMS),202,77.67,48.22,3.7,18.66,0.07,99.28,0.45
2025-06,86,543,01491-00102-00543,Benupur Nayapara Janoseba Sangstha (BNJS),202,4.76,52.69,28.81,22.65,6.76,144.3,32.49
2025-06,87,832,21112-00670-00832,BARAL foundation for environment & sustainable development,202,21.57,63.07,32.44,24.49,4.29,119.62,19.51
2025-06,88,796,21112-00573-00796,Barendra Economic Development Organization (BEDO),202,40.13,65.83,4.84,19.99,0.38,101.33,2.02
2025-06,89,40,01570-00073-00040,Barendrabhumi Samaj Unnyan Sangstha (BSDO),202,28.04,62.83,55.55,20.74,3.74,132.41,27.84
2025-06,90,483,00131-02952-00483,Basoti Shomaj O Poribesh Unnayon Foundation (Basoti),202,34.98,71.44,14.75,21.84,0.78,103.37,3.87
2025-06,91,330,00829-02739-00330,BASCO Foundation,202,38.05,63.36,18.96,16.03,1.76,112.4,11.75
2025-06,92,888,32021-00521-00888,BASONA JANAKALYAN SANGSTHA (BJS),202,59.05,38.02,18.96,23.32,5.35,116.99,31.05
2025-06,93,781,21112-00018-00781,Basic Aid for Local Action King Association (BALAKA),202,25.17,44.03,39.15,22.39,7.8,163.26,40.05
2025-06,94,80,01132-00227-00080,Basic Organization Network for Development and Humanitarian Aid for Nation (BONDHAN),202,40.24,58.37,21.33,22.08,1.75,109.5,9.32
2025-06,95,346,01029-00170-00346,Bastob- Initiative for Peoples Self Development,203,50.33,54.07,11.86,20.2,0.92,104.41,5.69
2025-06,96,16,00558-00067-00016,BEDO,203,61.2,58.49,17.52,21.44,3.35,113.48,19.32
2025-06,97,644,01612-01383-00644,Benefi ciary’s Friendship Forum (B.F.F),203,35.81,64.91,28.8,22.39,0.97,105.1,5.37
2025-06,98,528,05346-03315-00528,Bhagya Unnayan Shangstha,203,38.07,77.58,17.11,20.61,-1.35,92.5,-7.38
2025-06,99,479,03223-02173-00479,Bhumija Foundation,203,28.7,72.6,41.16,18.46,-0.44,94.83,-2.85
2025-06,100,70,00454-00263-00070,BIVA,203,23.59,86.71,22.49,18.54,-1.19,92.76,-7.56
2025-06,101,296,01626-00704-00296,Blind Education and Rehabilitation Development Organization (BERDO),203,35.61,61.21,56.04,18.11,2.67,127.5,22.91
2025-06,102,379,00044-00204-00379,BNPS Microfi nance Trust,203,13.15,65.97,31.67,21.92,3.35,119.3,17.17
2025-06,103,704,01778-01571-00704,"Bongram Samajik Unnayn Sangstha (B,S,U,S)",203,,131.71,50.56,15.26,-11.01,53.39,-88.14
2025-06,104,65,00488-00186-00065,BRAC,203,5.32,53.88,41.81,22.67,4.72,126.58,25.13
2025-06,105,19,00280-00080-00019,Bridge M.F.I,203,95.41,96.19,2.22,2.2,0.0,99.71,0.27
2025-06,106,875,21112-00269-00875,Brotee Samaj Kallyan Sangstha,203,56.08,64.72,2.56,16.19,0.81,105.43,5.46
2025-06,107,288,00004-00394-00288,BURO Bangladesh,203,35.3,50.6,34.77,23.42,4.4,128.28,23.2
2025-06,108,184,00032-00286-00184,CARITAS Bangladesh,203,9.94,80.72,41.21,19.42,0.58,102.0,3.38
2025-06,109,10,01834-00654-00010,CARSA Foundation,203,32.56,61.88,27.22,21.72,2.82,114.95,15.03
2025-06,110,610,01912-00886-00610,CDO (Community Development Organization),203,70.44,54.62,18.56,8.95,0.81,107.43,9.94
2025-06,111,361,00929-04366-00361,CEDAR (Concern for Environmental Development and Research),203,48.67,114.71,5.57,21.2,-5.87,75.71,-31.24
2025-06,112,583,02593-01229-00583,Center for Rural Service Society (C.R.S.S),203,,59.82,13.92,16.58,0.4,100.56,2.7
2025-06,113,170,02047-00565-00170,Centre for Action Research-Barind (CARB),203,90.23,57.6,39.51,22.19,0.47,102.97,3.69
2025-06,114,221,00826-00499-00221,Centre for Advanced Research and Social Action,203,51.39,54.47,17.57,20.67,4.32,131.36,24.46
2025-06,115,245,01032-01788-00245,Centre for Community Development Assistance (CCDA),204,33.12,56.49,40.57,22.74,3.63,123.14,20.54
2025-06,116,97,00341-00727-00097,Centre for Development Innovation and Practices,204,32.67,58.64,31.69,21.2,2.66,116.81,15.43
2025-06,117,322,02522-03607-00322,Centre for Development Services (CDS),204,,87.73,63.55,17.59,1.16,107.66,7.76
2025-06,118,624,03812-00620-00624,Centre for Integrated Programme & Development (CIPD),204,50.75,88.61,17.23,23.33,0.02,99.5,0.14
2025-06,119,365,01425-00165-00365,Centre for Mass Education in science,204,22.86,77.81,14.96,21.62,1.86,109.25,9.02
2025-06,120,358,01079-03171-00358,Centre for Rehabilitation Education Earning Development (CREED),204,2.89,51.65,20.08,19.03,3.82,127.12,25.32
2025-06,121,723,05555-01006-00723,Chaltya Shekha,204,,84.59,19.05,12.94,0.2,100.45,1.65
2025-06,122,788,21112-00109-00788,Chandpur Socio-Economic Development Organization,204,43.86,68.64,9.93,16.1,0.77,100.94,5.46
2025-06,123,13,01342-00771-00013,Charcha,204,2.12,69.17,40.19,17.94,2.83,111.33,17.8
2025-06,124,780,21112-00433-00780,Chetona Manobik Unnayan Sangstha,204,70.7,83.99,14.4,20.83,1.86,110.63,10.04
2025-06,125,662,05619-01326-00662,Chatihati Nabo Uddipon Songgo,204,69.9,72.5,3.9,19.15,0.44,102.07,2.51
2025-06,126,98,00074-00002-00098,CHIRONTONI,204,0.6,63.69,10.48,24.21,2.9,113.14,13.58
2025-06,127,295,02636-03667-00295,Christian Commission for Development in Bangladesh,204,12.11,49.19,43.59,22.45,6.86,148.74,33.66
2025-06,128,129,02578-01977-00129,Christian Service Society,204,6.72,79.53,55.29,21.51,1.65,107.03,8.77
2025-06,129,506,00996-00096-00506,CLOG (Children Life Organization of Genus),204,17.64,43.93,71.42,23.18,8.84,199.51,50.31
2025-06,130,68,00956-04041-00068,COAST Foundation,204,32.06,69.18,19.64,19.82,0.99,104.43,5.92
2025-06,131,217,00512-00608-00217,Come to Work-CTW,204,39.03,67.2,25.88,20.38,2.93,117.21,16.14
2025-06,132,214,02257-03643-00214,Community Development And Health Care Centre (CDHC),204,46.36,66.27,15.49,19.32,2.65,116.82,15.27
2025-06,133,103,01781-00048-00103,Community Development Centre (CODEC),204,33.21,48.86,33.47,21.33,6.14,149.46,34.53
2025-06,134,806,21112-00153-00806,Community Development Society (CDS),204,34.96,72.84,41.48,19.55,1.11,106.01,6.32
2025-06,135,55,01140-00202-00055,Community Health Care Project (CHCP),205,76.59,177.42,-97.18,4.12,-4.53,37.65,-201.14
2025-06,136,871,21112-00893-00871,COUNTRY AND HUMAN DEVELOPMENT SOCIETY (CHDS),205,72.72,60.23,5.78,16.34,0.34,101.73,2.26
2025-06,137,555,01509-00458-00555,Crescent,205,28.21,63.14,19.09,13.02,0.25,101.63,2.03
2025-06,138,862,21112-00195-00862,DABI (Daridra Bimochon),205,2.67,99.52,33.2,18.01,-1.91,89.61,-11.39
2025-06,139,21,00947-00710-00021,Dabi Moulik Unnayan Sangstha,205,36.7,46.6,32.46,20.55,5.23,139.93,30.24
2025-06,140,237,01121-00835-00237,Dak Diye Jai,205,55.55,62.28,15.02,20.65,1.98,109.81,11.36
2025-06,141,747,00109-02243-00747,DAM FOUNDATION FOR ECONOMIC DEVELOPMENT,205,53.78,63.5,14.98,19.99,0.9,104.59,5.33
2025-06,142,266,00791-01632-00266,Daridra Bimochon Shangstha (DBS),205,58.78,68.49,24.57,21.71,2.03,105.31,11.37
2025-06,143,729,03933-03378-00729,Daridro & Paribash Unnaon Society,205,5.06,49.96,21.02,10.99,2.6,123.15,25.32
2025-06,144,810,21112-00368-00810,DESH DEVELOPMENT CENTER (DDC),205,37.06,71.61,15.88,21.64,1.97,110.29,9.84
2025-06,145,804,21112-00163-00804,DESH FOUNDATION,205,93.09,82.78,16.11,17.14,1.0,87.3,7.36
2025-06,146,141,00590-00236-00141,Desha Shechchashebi Artho-Samajik Unnayan O Manobik Kallyan Sangstha,205,40.84,59.53,21.6,21.58,3.47,114.91,18.48
2025-06,147,775,21112-00296-00775,Deshari Unnayan Sangstha,205,62.41,70.27,7.7,15.54,0.8,101.97,5.66
2025-06,148,250,00369-00813-00250,Development for Society,205,11.98,60.23,28.29,20.83,2.36,114.32,13.59
2025-06,149,724,03016-00167-00724,Development Activities of Society-DAS,205,60.68,64.21,36.38,12.36,-0.13,98.15,-1.46
2025-06,150,24,01306-00480-00024,Development Initiative for Social Advancement (DISA),205,74.67,51.33,7.52,17.72,0.49,88.41,3.79
2025-06,151,791,21112-01034-00791,Development Initiative for Human Advancement (DIHA),205,27.84,64.35,12.96,22.32,2.04,111.5,10.71
2025-06,152,241,02026-02628-00241,Development of Integrated for Social Association - DISA,205,24.79,88.76,37.05,30.57,1.94,102.71,7.13
2025-06,153,185,01795-01411-00185,Development Organisation of the Rural Poor (DORP),205,82.23,61.45,27.83,22.58,0.97,103.86,5.57
2025-06,154,491,06028-02305-00491,Development Organization of Rural Peoples (DOORP),206,15.77,64.03,19.2,12.45,0.88,107.94,7.88
2025-06,155,787,21112-00190-00787,DHAKA PALLI SHEBA SANGSTHA,206,52.04,54.58,16.41,10.35,2.72,132.09,29.05
2025-06,156,655,03909-02115-00655,Dharani Samaj Kallayan Sangstha,206,23.57,61.17,29.93,16.25,2.67,122.02,19.1
2025-06,157,816,21112-00512-00816,"DHAU HEALTH, EDUCATION & ENVIRONMENT DEVELOPMENT SOCIETY",206,21.45,77.37,-15.16,19.87,1.18,106.22,6.46
2025-06,158,770,21112-00126-00770,Diganta Foundation,206,64.53,55.9,13.01,9.62,2.23,123.06,24.16
2025-06,159,251,00656-01009-00251,Diganta,206,62.83,57.38,12.13,19.69,0.05,87.36,0.34
2025-06,160,868,21112-00200-00868,Dinajpur Polli Unnayan Prochesta (D.P.U.P),206,45.58,47.79,11.97,16.52,3.46,126.72,22.67
2025-06,161,349,00681-04542-00349,"DIPSHIKHA Non-Formal Education, Training and Research Society for Village Development",206,20.6,69.49,52.65,20.04,2.62,115.7,14.19
2025-06,162,631,01537-03317-00631,Dipti Foundation,206,82.63,65.7,29.3,20.53,0.86,104.2,4.69
2025-06,163,821,21112-00378-00821,DIPTI SHOMAJ UNNOYAN SANGSTHA,206,25.96,74.18,20.62,17.15,2.71,118.57,16.79
2025-06,164,694,00732-03883-00694,Disa Bangladesh,206,27.04,57.03,5.77,16.73,0.5,100.92,4.63
2025-06,165,882,21112-00040-00882,Disable Development & Educational Foundation (DDEF),206,67.92,61.82,27.92,9.42,2.25,62.16,28.62
2025-06,166,220,01284-00322-00220,Doel (Development Organisation for Equity & Love),206,36.85,63.31,11.71,15.81,0.45,102.16,3.15
2025-06,167,828,21112-00561-00828,DREAM HEAVEN ASSOCIATION (DHA),206,,91.71,15.82,15.07,0.23,101.17,1.57
2025-06,168,27,02854-01466-00027,DRISHTIDAN,206,68.29,84.03,9.8,19.33,-1.05,93.19,-6.59
2025-06,169,369,02100-01985-00369,Dushtha Shasthya Kendra (DSK),206,43.35,54.93,21.48,22.66,2.63,111.27,14.22
2025-06,170,847,21112-00909-00847,Dustha Manab Unnayan Society (DMUS),206,19.34,16.15,55.34,10.95,30.86,108.48,393.84
2025-06,171,756,03229-01099-00756,Dustha Manobatar Seba Sangstha (DMSS),206,30.75,79.31,37.37,16.56,1.62,111.17,10.49
2025-06,172,798,21112-00041-00798,DUSTHO MOHILA SANGSTHA,206,41.35,46.58,45.72,24.07,9.23,170.1,41.95
2025-06,173,33,00654-00234-00033,Dwip Unnayan Sangstha,206,43.52,65.53,29.35,18.95,2.29,108.35,15.51
2025-06,174,181,00657-02312-00181,Environment & Agricultural Development Association (EADA),207,22.45,56.33,32.49,20.95,4.68,133.14,25.86
2025-06,175,203,01059-03355-00203,Eco-Social Development Organization (ESDO),207,34.68,49.22,29.88,21.46,5.07,129.08,27.36
2025-06,176,31,01109-00117-00031,ENDEAVOUR(Ensure Development Activities for Vulnerable Under Privileged Rural People),207,46.12,58.88,12.12,20.51,2.77,114.81,15.04
2025-06,177,375,00914-04151-00375,Environmental And Socio Economic Network (ESEN),207,,92.5,12.01,11.15,-0.87,92.12,-9.11
2025-06,178,173,00273-03453-00173,Eskander Welfare Foundation (EWF),207,65.2,62.13,-1.38,18.83,4.13,135.29,27.03
2025-06,179,467,03032-02138-00467,Aso Gori Unnayan Sangstha (AGUS),207,22.75,52.91,8.28,19.9,1.49,105.34,8.72
2025-06,180,841,21112-00056-00841,EURO BANGLA FOUNDATION (EBF),207,9.14,85.4,13.15,22.88,0.27,67.15,1.34
2025-06,181,274,04594-01141-00274,Family Development Service & Research,207,38.36,70.84,99.12,23.2,2.21,116.48,15.78
2025-06,182,438,03423-02757-00438,Faridpur Development Agency (FDA),207,35.42,46.75,47.81,23.51,8.71,130.44,47.64
2025-06,183,209,00728-00812-00209,Focus Society,207,61.43,69.12,9.76,21.21,2.14,112.38,11.52
2025-06,184,423,01688-00841-00423,Friends in Village Development Bangladesh,207,29.13,53.01,52.62,20.57,5.18,142.1,32.23
2025-06,185,91,03730-01746-00091,Gana Unnayan Kendra (GUK),207,42.32,57.04,9.92,20.17,0.63,102.85,4.09
2025-06,186,195,03606-00904-00195,Gandhi Ashram Trust,207,35.57,87.97,7.16,21.23,-2.52,87.35,-14.27
2025-06,187,208,00254-03690-00208,Gano Milan Foundation,207,36.85,79.18,16.27,21.87,1.41,79.23,7.18
2025-06,188,522,01665-00147-00522,Gazipur Unnayan Sangstha (GUS),207,,108.03,81.82,11.83,-1.51,84.12,-17.66
2025-06,189,745,03693-03523-00745,Gender and Environment Management Society (GEMS),207,21.58,82.0,20.61,17.78,0.78,93.57,4.74
2025-06,190,160,00399-01209-00160,Ghashful,207,49.62,69.29,8.89,21.29,0.49,100.71,2.65
2025-06,191,446,02041-01180-00446,GLDP (Grass-root Level Development Programme),207,7.63,52.11,45.71,11.63,4.47,151.49,37.26
2025-06,192,147,00219-01524-00147,Gono Kallyan Trust,207,56.75,53.42,12.21,20.66,1.71,109.24,9.75
2025-06,193,403,00768-00647-00403,Gono Unnayan Prochesta,208,52.71,58.57,13.53,22.11,2.1,111.4,11.17
2025-06,194,569,04329-01672-00569,Gono Unnayan Sangstha,208,76.81,172.75,7.26,0.71,-2.62,18.56,-431.9
2025-06,195,650,04833-04519-00650,Gonoshasthaya Kendra (GK),208,65.87,64.77,-32.94,17.34,3.04,133.03,26.59
2025-06,196,783,21112-00083-00783,GRAM BANGLA UNNAYAN SANGSTHA (GBUS),208,,82.57,20.11,21.87,0.42,100.0,2.05
2025-06,197,183,01271-01016-00183,Gram Bikash Kendra,208,45.63,61.56,21.36,21.15,3.29,102.5,17.46
2025-06,198,499,01758-02082-00499,Gram Bikash Sangstha (GBS),208,50.07,81.13,25.44,18.57,2.4,83.77,15.01
2025-06,199,180,02858-00277-00180,Gram Unnayan Karjakram (GRAUK),208,9.8,60.58,21.27,23.17,2.97,112.99,14.72
2025-06,200,273,02761-03196-00273,Gram Unnayan Karma (GUK),208,39.74,64.43,21.92,20.97,1.72,109.37,9.38
2025-06,201,872,21112-00701-00872,GRAMEEN ALO (GA),208,62.4,76.67,15.07,19.03,1.26,106.41,7.4
2025-06,202,527,05796-01918-00527,Grameen Alo Songstha (GAS),208,19.08,61.95,36.89,25.98,4.01,120.46,17.92
2025-06,203,495,00440-00065-00495,Grameen Economic And Social Advancement (GESA),208,61.9,68.22,22.2,5.94,1.07,91.39,34.04
2025-06,204,275,00552-01111-00275,Grameen Jano Unnayan Sangstha (GJUS),208,59.37,66.16,20.91,21.86,3.23,88.83,18.2
2025-06,205,596,03904-00198-00596,Grameen Jono Unnayan Sangstha,208,3.26,53.65,37.43,24.1,5.02,134.83,26.45
2025-06,206,840,21112-01197-00840,GRAMEEN JUBA SAMAJ KALLYAN SANGSTHA,208,34.09,92.9,27.17,36.0,0.22,100.88,1.22
2025-06,207,510,02414-00814-00510,Grameen Krishok Sohayak Sangstha (GKSS),208,,67.66,34.43,22.2,6.11,139.61,28.57
2025-06,208,201,02830-03273-00201,Grameen Manobic Unnayan Sangstha (GRAMAUS),208,46.99,53.68,8.45,21.26,3.11,115.22,19.21
2025-06,209,448,00167-00284-00448,Grameen Motsho O Pashusampad Foundation (GMPF),208,3.63,142.94,23.08,8.06,-4.04,62.64,-52.87
2025-06,210,887,32021-00249-00887,Grameen Prochesta Songstha (GPS),208,74.47,90.79,3.68,17.37,0.1,89.23,0.61
2025-06,211,161,00336-00260-00161,Grameen Progress,208,3.17,84.69,37.51,23.92,1.94,107.85,9.72
